NAME                    DRIVER    SCOPE     NETWORK ID
bridge                  bridge    local     a30d24228bbc
compose_default         bridge    local     8f7fc81a0600
cryptpad_default        bridge    local     bebca6296b94
etherpad_default        bridge    local     7ad976d6055e
healthchecks_default    bridge    local     13fd8ea97b94
host                    host      local     ad6f09e33f92
nextcloud_default       bridge    local     de49ada7ecfc
none                    null      local     3e79376052cd
open-notebook_default   bridge    local     3d1818651f84
paperless_default       bridge    local     0a3c12139db8
privatebin_web          bridge    local     454eb7778b0a
searxng_default         bridge    local     07462fa2c80e
stirling_default        bridge    local     47a738184c2c
uptime-kuma_default     bridge    local     e2d8a9eac20e
vaultwarden_default     bridge    local     ed53bc5d2155
wikijs_default          bridge    local     ec92021c01d5
