NAMES                           IMAGE                                        STATUS                 PORTS
forgejo                         codeberg.org/forgejo/forgejo:14              Up 2 days              0.0.0.0:2222->22/tcp, 0.0.0.0:3300->3000/tcp
wikijs-wiki-1                   ghcr.io/requarks/wiki:2                      Up 6 days              3443/tcp, 127.0.0.1:9093->3000/tcp
wikijs-db-1                     postgres:15-alpine                           Up 6 days              5432/tcp
stirling-stirling-pdf-1         stirlingtools/stirling-pdf:latest-fat        Up 7 days (healthy)    127.0.0.1:9092->8080/tcp
vaultwarden                     vaultwarden/server:latest                    Up 7 days (healthy)    127.0.0.1:3012->3012/tcp, 127.0.0.1:9081->80/tcp
privatebin                      privatebin/nginx-fpm-alpine:latest           Up 7 days              127.0.0.1:8081->8080/tcp
searxng                         searxng/searxng:latest                       Up 7 days              10.50.0.1:8080->8080/tcp
healthchecks                    healthchecks/healthchecks:latest             Up 7 days (healthy)    10.50.0.1:8002->8000/tcp
healthchecks-db                 postgres:16-alpine                           Up 7 days              5432/tcp
uptime-kuma                     louislam/uptime-kuma:2                       Up 7 days (healthy)    10.50.0.1:3001->3001/tcp
open-notebook-open_notebook-1   lfnovo/open_notebook:v1-latest               Up 11 days             127.0.0.1:5055->5055/tcp, 127.0.0.1:8502->8502/tcp
open-notebook-surrealdb-1       surrealdb/surrealdb:v2                       Up 11 days             
paperless-webserver-1           ghcr.io/paperless-ngx/paperless-ngx:latest   Up 11 days (healthy)   127.0.0.1:8000->8000/tcp
cryptpad-cryptpad-1             cryptpad/cryptpad:latest                     Up 11 days (healthy)   127.0.0.1:3101->3000/tcp, 127.0.0.1:3103->3003/tcp
paperless-db-1                  postgres:18                                  Up 13 days             5432/tcp
paperless-broker-1              redis:8                                      Up 13 days             6379/tcp
nextcloud-app-1                 nextcloud:33-apache                          Up 13 days             127.0.0.1:9091->80/tcp
nextcloud-redis-1               redis:7-alpine                               Up 13 days             6379/tcp
nextcloud-db-1                  mariadb:11                                   Up 13 days             3306/tcp
etherpad                        etherpad/etherpad:latest                     Up 13 days (healthy)   127.0.0.1:9001->9001/tcp
