Module                  Size  Used by
cpuid                  12288  0
nft_fib_ipv6           12288  2
nft_fib_ipv4           12288  2
nft_fib                12288  2 nft_fib_ipv6,nft_fib_ipv4
nft_nat                12288  10
udp_diag               12288  0
nft_reject_inet        12288  1
nf_reject_ipv4         16384  1 nft_reject_inet
nf_reject_ipv6         24576  1 nft_reject_inet
nft_reject             12288  1 nft_reject_inet
tcp_diag               12288  0
inet_diag              28672  2 tcp_diag,udp_diag
nf_conntrack_netlink    61440  0
xt_nat                 12288  83
xt_tcpudp              16384  0
veth                   40960  0
xt_conntrack           12288  0
xt_MASQUERADE          16384  0
bridge                389120  0
stp                    12288  1 bridge
llc                    16384  2 bridge,stp
xfrm_user              69632  1
xfrm_algo              16384  1 xfrm_user
xt_set                 20480  0
ip_set                 69632  1 xt_set
xt_addrtype            12288  0
nft_compat             20480  83
wireguard             118784  0
libchacha20poly1305    16384  1 wireguard
chacha_x86_64          28672  1 libchacha20poly1305
poly1305_x86_64        28672  1 libchacha20poly1305
curve25519_x86_64      36864  1 wireguard
libcurve25519_generic    45056  2 curve25519_x86_64,wireguard
libchacha              12288  1 chacha_x86_64
ip6_udp_tunnel         16384  1 wireguard
udp_tunnel             32768  1 wireguard
qrtr                   57344  0
overlay               217088  20
rfcomm                102400  0
cmac                   12288  0
algif_hash             12288  0
algif_skcipher         12288  0
af_alg                 36864  2 algif_hash,algif_skcipher
bnep                   36864  0
binfmt_misc            28672  1
zfs                  6676480  20
spl                   159744  1 zfs
btusb                  81920  0
btrtl                  32768  1 btusb
btintel                69632  1 btusb
uvcvideo              155648  0
btbcm                  24576  1 btusb
btmtk                  32768  1 btusb
videobuf2_vmalloc      20480  1 uvcvideo
uvc                    12288  1 uvcvideo
bluetooth            1085440  10 btrtl,btmtk,btintel,btbcm,bnep,btusb,rfcomm
videobuf2_memops       16384  1 videobuf2_vmalloc
videobuf2_v4l2         36864  1 uvcvideo
videodev              368640  2 videobuf2_v4l2,uvcvideo
videobuf2_common       81920  4 videobuf2_vmalloc,videobuf2_v4l2,uvcvideo,videobuf2_memops
