Filesystem                     Type      Size  Used Avail Use% Mounted on
/dev/mapper/nvme0n1p3_crypt    ext4       73G   37G   33G  54% /
efivarfs                       efivarfs  128K  120K  3.1K  98% /sys/firmware/efi/efivars
/dev/nvme0n1p2                 ext4      921M  410M  448M  48% /boot
/dev/nvme0n1p1                 vfat      487M  8.8M  478M   2% /boot/efi
tank/srv                       zfs       114G  2.1G  112G   2% /srv
tank/secrets_plain/wireguard   zfs       112G  128K  112G   1% /etc/wireguard
tank/home                      zfs       112G  220M  112G   1% /home
tank/containers                zfs       112G  128K  112G   1% /var/lib/containers
tank                           zfs       112G  128K  112G   1% /tank
tank/srv/paperless             zfs       112G  256K  112G   1% /srv/paperless
tank/secrets_plain/vaultwarden zfs       112G  896K  112G   1% /srv/vaultwarden
tank/home/lukasz               zfs       112G  620M  112G   1% /home/lukasz
tank/srv/paperless/pgdata      zfs       112G   14M  112G   1% /srv/paperless/pgdata
tank/srv/paperless/data        zfs       112G  2.5M  112G   1% /srv/paperless/data
tank/backups                   zfs       151G   39G  112G  26% /tank/backups
tank/srv/paperless/export      zfs       112G  128K  112G   1% /srv/paperless/export
tank/srv/paperless/media       zfs       112G  128K  112G   1% /srv/paperless/media
tank/srv/paperless/consume     zfs       112G  128K  112G   1% /srv/paperless/consume
overlay                        overlay    73G   37G   33G  54% /var/lib/docker/rootfs/overlayfs/eb223aa2789f988c1da02d973b29d46a5f96bcdfcce5eeebcb6cac756804e7cd
overlay                        overlay    73G   37G   33G  54% /var/lib/docker/rootfs/overlayfs/4e9cf1a12c816d2c1a44de5e81a2689b3acedd703584077f7641dce58f4a4085
overlay                        overlay    73G   37G   33G  54% /var/lib/docker/rootfs/overlayfs/8c116376e475806be71993e11693709e5cb9b3b6cc32a762f06fb7d1a66d1a15
overlay                        overlay    73G   37G   33G  54% /var/lib/docker/rootfs/overlayfs/729fc0d46552426a8fc6ff0797422b0db1f583ce3559c11239e0ce0ec648f8be
overlay                        overlay    73G   37G   33G  54% /var/lib/docker/rootfs/overlayfs/b17f24b1e57d1c4fa5178b03e4b70e5f903cdd47b96957a050089f7043079781
overlay                        overlay    73G   37G   33G  54% /var/lib/docker/rootfs/overlayfs/473056ec297eff4e780f3df3781c54ca03d8985333f22e95c49222574ab5f20d
overlay                        overlay    73G   37G   33G  54% /var/lib/docker/rootfs/overlayfs/80f793993045b90529c415543bd9621032c093bfa9136d681f1737ab5366a20a
overlay                        overlay    73G   37G   33G  54% /var/lib/docker/rootfs/overlayfs/52ae17964613bafadb51341aaa5f2b394626041da1f5844042bc47f21430b3b7
overlay                        overlay    73G   37G   33G  54% /var/lib/docker/rootfs/overlayfs/12691eeac724c8cbfb02eb2475b10ff2b3c068688189fac8fc811e16220ad9b4
overlay                        overlay    73G   37G   33G  54% /var/lib/docker/rootfs/overlayfs/f967007629cd81e74bdc1e4a934349e226fe57a687b429b275963fb6fdc6fca7
overlay                        overlay    73G   37G   33G  54% /var/lib/docker/rootfs/overlayfs/d443e09aa8fa91fbf80e9db1c530b7ed7e0c486c42462738fd4fb0bf5d9b3d3b
overlay                        overlay    73G   37G   33G  54% /var/lib/docker/rootfs/overlayfs/7ef9c58dd5bbc841da16aa0147353b530a5d893fad1136be5567224a7425d765
overlay                        overlay    73G   37G   33G  54% /var/lib/docker/rootfs/overlayfs/7d02a3ef69f61f0c5ea27de3949a8f142be75a86464a6feeeb8a99e9ee13645d
overlay                        overlay    73G   37G   33G  54% /var/lib/docker/rootfs/overlayfs/716d1bf72c56ecb9ba07912ca37a4f2c7ed38a781779dda17d9e03826f787434
overlay                        overlay    73G   37G   33G  54% /var/lib/docker/rootfs/overlayfs/a5427aebe224a96ccfc99845fbd4525ac556bb7f57904c38c83df6fd497bb461
overlay                        overlay    73G   37G   33G  54% /var/lib/docker/rootfs/overlayfs/2bacb550561f1b8062f243f3b9f258609dcf1d1fabf2728d7a5f9ca0f789b5af
overlay                        overlay    73G   37G   33G  54% /var/lib/docker/rootfs/overlayfs/13c82ccb1e37b62b3dcbe177f521f9268db0595679c3d5ed68cd08c11201d356
overlay                        overlay    73G   37G   33G  54% /var/lib/docker/rootfs/overlayfs/14b6843e8e1bc996abf0f7b7610e01d8a42d4bae83664dc92e4da70d45825427
overlay                        overlay    73G   37G   33G  54% /var/lib/docker/rootfs/overlayfs/5b3ecdcc01dfd43cec1e3c5118dc29ce521e2f10085f7dbb5b013029ae6f4d2d
overlay                        overlay    73G   37G   33G  54% /var/lib/docker/rootfs/overlayfs/452f0403dbb2ca046cc732d6e09e6e3deb0105cbaa90b8a38f3008fd7e72c6a6
