NAME                                                                    USED  AVAIL  REFER  MOUNTPOINT              TYPE
tank                                                                   45.8G   111G   112K  /tank                   filesystem
tank@zfs-auto-snap_weekly-2026-01-24-0644                                 0B      -   112K  -                       snapshot
tank@zfs-auto-snap_monthly-2026-01-27-0649                                0B      -   112K  -                       snapshot
tank@zfs-auto-snap_weekly-2026-01-31-0642                                 0B      -   112K  -                       snapshot
tank@zfs-auto-snap_weekly-2026-02-07-0642                                 0B      -   112K  -                       snapshot
tank@zfs-auto-snap_weekly-2026-02-14-0644                                 0B      -   112K  -                       snapshot
tank@zfs-auto-snap_daily-2026-02-18-0638                                  0B      -   112K  -                       snapshot
tank@zfs-auto-snap_daily-2026-02-19-0637                                  0B      -   112K  -                       snapshot
tank@zfs-auto-snap_daily-2026-02-20-0635                                  0B      -   112K  -                       snapshot
tank@zfs-auto-snap_daily-2026-02-21-0635                                  0B      -   112K  -                       snapshot
tank@zfs-auto-snap_weekly-2026-02-21-0640                                 0B      -   112K  -                       snapshot
tank@zfs-auto-snap_daily-2026-02-22-0639                                  0B      -   112K  -                       snapshot
tank@zfs-auto-snap_daily-2026-02-23-0638                                  0B      -   112K  -                       snapshot
tank@zfs-auto-snap_daily-2026-02-24-0638                                  0B      -   112K  -                       snapshot
tank@zfs-auto-snap_monthly-2026-02-24-0648                                0B      -   112K  -                       snapshot
tank@zfs-auto-snap_daily-2026-02-25-0635                                  0B      -   112K  -                       snapshot
tank@zfs-auto-snap_daily-2026-02-26-0637                                  0B      -   112K  -                       snapshot
tank@zfs-auto-snap_daily-2026-02-27-0636                                  0B      -   112K  -                       snapshot
tank@zfs-auto-snap_daily-2026-02-28-0638                                  0B      -   112K  -                       snapshot
tank@zfs-auto-snap_weekly-2026-02-28-0643                                 0B      -   112K  -                       snapshot
tank@zfs-auto-snap_daily-2026-03-01-0636                                  0B      -   112K  -                       snapshot
tank@zfs-auto-snap_daily-2026-03-02-0636                                  0B      -   112K  -                       snapshot
tank@zfs-auto-snap_daily-2026-03-03-0636                                  0B      -   112K  -                       snapshot
tank@zfs-auto-snap_daily-2026-03-04-0639                                  0B      -   112K  -                       snapshot
tank@zfs-auto-snap_daily-2026-03-05-0712                                  0B      -   112K  -                       snapshot
tank@zfs-auto-snap_daily-2026-03-06-0639                                  0B      -   112K  -                       snapshot
tank@zfs-auto-snap_daily-2026-03-07-0636                                  0B      -   112K  -                       snapshot
tank@zfs-auto-snap_weekly-2026-03-07-0641                                 0B      -   112K  -                       snapshot
tank@zfs-auto-snap_daily-2026-03-08-0636                                  0B      -   112K  -                       snapshot
tank@zfs-auto-snap_daily-2026-03-09-0637                                  0B      -   112K  -                       snapshot
tank@zfs-auto-snap_daily-2026-03-10-0635                                  0B      -   112K  -                       snapshot
tank@zfs-auto-snap_daily-2026-03-11-0635                                  0B      -   112K  -                       snapshot
tank@zfs-auto-snap_daily-2026-03-12-0635                                  0B      -   112K  -                       snapshot
tank@zfs-auto-snap_daily-2026-03-13-0638                                  0B      -   112K  -                       snapshot
tank@zfs-auto-snap_daily-2026-03-14-0638                                  0B      -   112K  -                       snapshot
tank@zfs-auto-snap_weekly-2026-03-14-0643                                 0B      -   112K  -                       snapshot
tank@zfs-auto-snap_daily-2026-03-15-0639                                  0B      -   112K  -                       snapshot
tank@zfs-auto-snap_daily-2026-03-16-0637                                  0B      -   112K  -                       snapshot
tank@zfs-auto-snap_daily-2026-03-17-0635                                  0B      -   112K  -                       snapshot
tank@zfs-auto-snap_daily-2026-03-18-0637                                  0B      -   112K  -                       snapshot
tank@zfs-auto-snap_daily-2026-03-19-0639                                  0B      -   112K  -                       snapshot
tank@zfs-auto-snap_hourly-2026-03-19-1617                                 0B      -   112K  -                       snapshot
tank@zfs-auto-snap_hourly-2026-03-19-1717                                 0B      -   112K  -                       snapshot
tank@zfs-auto-snap_hourly-2026-03-19-1817                                 0B      -   112K  -                       snapshot
tank@zfs-auto-snap_hourly-2026-03-19-1917                                 0B      -   112K  -                       snapshot
tank@zfs-auto-snap_hourly-2026-03-19-2017                                 0B      -   112K  -                       snapshot
tank@zfs-auto-snap_hourly-2026-03-19-2117                                 0B      -   112K  -                       snapshot
tank@zfs-auto-snap_hourly-2026-03-19-2217                                 0B      -   112K  -                       snapshot
tank@zfs-auto-snap_hourly-2026-03-19-2317                                 0B      -   112K  -                       snapshot
tank@zfs-auto-snap_hourly-2026-03-20-0017                                 0B      -   112K  -                       snapshot
tank@zfs-auto-snap_hourly-2026-03-20-0117                                 0B      -   112K  -                       snapshot
tank@zfs-auto-snap_hourly-2026-03-20-0217                                 0B      -   112K  -                       snapshot
tank@zfs-auto-snap_hourly-2026-03-20-0317                                 0B      -   112K  -                       snapshot
tank@zfs-auto-snap_hourly-2026-03-20-0417                                 0B      -   112K  -                       snapshot
tank@zfs-auto-snap_hourly-2026-03-20-0517                                 0B      -   112K  -                       snapshot
tank@zfs-auto-snap_hourly-2026-03-20-0617                                 0B      -   112K  -                       snapshot
tank@zfs-auto-snap_daily-2026-03-20-0636                                  0B      -   112K  -                       snapshot
tank@zfs-auto-snap_hourly-2026-03-20-0717                                 0B      -   112K  -                       snapshot
tank@zfs-auto-snap_hourly-2026-03-20-0817                                 0B      -   112K  -                       snapshot
tank@zfs-auto-snap_hourly-2026-03-20-0917                                 0B      -   112K  -                       snapshot
tank@zfs-auto-snap_hourly-2026-03-20-1017                                 0B      -   112K  -                       snapshot
tank@zfs-auto-snap_hourly-2026-03-20-1117                                 0B      -   112K  -                       snapshot
tank@zfs-auto-snap_hourly-2026-03-20-1217                                 0B      -   112K  -                       snapshot
tank@zfs-auto-snap_hourly-2026-03-20-1317                                 0B      -   112K  -                       snapshot
tank@zfs-auto-snap_hourly-2026-03-20-1417                                 0B      -   112K  -                       snapshot
tank@zfs-auto-snap_frequent-2026-03-20-1430                               0B      -   112K  -                       snapshot
tank@zfs-auto-snap_frequent-2026-03-20-1445                               0B      -   112K  -                       snapshot
tank@zfs-auto-snap_frequent-2026-03-20-1500                               0B      -   112K  -                       snapshot
tank@zfs-auto-snap_frequent-2026-03-20-1515                               0B      -   112K  -                       snapshot
tank@zfs-auto-snap_hourly-2026-03-20-1517                                 0B      -   112K  -                       snapshot
tank/backups                                                           39.0G   111G  38.9G  /tank/backups           filesystem
tank/backups@zfs-auto-snap_weekly-2026-01-24-0644                         0B      -  31.2G  -                       snapshot
tank/backups@zfs-auto-snap_monthly-2026-01-27-0649                        0B      -  31.2G  -                       snapshot
tank/backups@zfs-auto-snap_weekly-2026-01-31-0642                      7.50M      -  33.2G  -                       snapshot
tank/backups@zfs-auto-snap_weekly-2026-02-07-0642                         0B      -  34.2G  -                       snapshot
tank/backups@zfs-auto-snap_weekly-2026-02-14-0644                         0B      -  34.2G  -                       snapshot
tank/backups@zfs-auto-snap_daily-2026-02-18-0638                         96K      -  35.2G  -                       snapshot
tank/backups@zfs-auto-snap_daily-2026-02-19-0637                          0B      -  35.2G  -                       snapshot
tank/backups@zfs-auto-snap_daily-2026-02-20-0635                          0B      -  35.2G  -                       snapshot
tank/backups@zfs-auto-snap_daily-2026-02-21-0635                          0B      -  35.2G  -                       snapshot
tank/backups@zfs-auto-snap_weekly-2026-02-21-0640                         0B      -  35.2G  -                       snapshot
tank/backups@zfs-auto-snap_daily-2026-02-22-0639                          0B      -  35.2G  -                       snapshot
tank/backups@zfs-auto-snap_daily-2026-02-23-0638                          0B      -  35.2G  -                       snapshot
tank/backups@zfs-auto-snap_daily-2026-02-24-0638                          0B      -  35.2G  -                       snapshot
tank/backups@zfs-auto-snap_monthly-2026-02-24-0648                        0B      -  35.2G  -                       snapshot
tank/backups@zfs-auto-snap_daily-2026-02-25-0635                          0B      -  35.2G  -                       snapshot
tank/backups@zfs-auto-snap_daily-2026-02-26-0637                          0B      -  35.2G  -                       snapshot
tank/backups@zfs-auto-snap_daily-2026-02-27-0636                          0B      -  35.2G  -                       snapshot
tank/backups@zfs-auto-snap_daily-2026-02-28-0638                          0B      -  36.3G  -                       snapshot
tank/backups@zfs-auto-snap_weekly-2026-02-28-0643                         0B      -  36.3G  -                       snapshot
tank/backups@zfs-auto-snap_daily-2026-03-01-0636                          0B      -  36.3G  -                       snapshot
tank/backups@zfs-auto-snap_daily-2026-03-02-0636                          0B      -  36.3G  -                       snapshot
tank/backups@zfs-auto-snap_daily-2026-03-03-0636                          0B      -  36.3G  -                       snapshot
tank/backups@zfs-auto-snap_daily-2026-03-04-0639                          0B      -  36.3G  -                       snapshot
tank/backups@zfs-auto-snap_daily-2026-03-05-0712                          0B      -  37.2G  -                       snapshot
tank/backups@zfs-auto-snap_daily-2026-03-06-0639                          0B      -  37.2G  -                       snapshot
tank/backups@zfs-auto-snap_daily-2026-03-07-0636                          0B      -  37.2G  -                       snapshot
tank/backups@zfs-auto-snap_weekly-2026-03-07-0641                         0B      -  37.2G  -                       snapshot
tank/backups@zfs-auto-snap_daily-2026-03-08-0636                          0B      -  37.2G  -                       snapshot
tank/backups@zfs-auto-snap_daily-2026-03-09-0637                          0B      -  37.2G  -                       snapshot
tank/backups@zfs-auto-snap_daily-2026-03-10-0635                          0B      -  37.2G  -                       snapshot
tank/backups@zfs-auto-snap_daily-2026-03-11-0635                          0B      -  37.2G  -                       snapshot
tank/backups@zfs-auto-snap_daily-2026-03-12-0635                          0B      -  37.2G  -                       snapshot
tank/backups@zfs-auto-snap_daily-2026-03-13-0638                          0B      -  38.9G  -                       snapshot
tank/backups@zfs-auto-snap_daily-2026-03-14-0638                          0B      -  38.9G  -                       snapshot
tank/backups@zfs-auto-snap_weekly-2026-03-14-0643                         0B      -  38.9G  -                       snapshot
tank/backups@zfs-auto-snap_daily-2026-03-15-0639                          0B      -  38.9G  -                       snapshot
tank/backups@zfs-auto-snap_daily-2026-03-16-0637                          0B      -  38.9G  -                       snapshot
tank/backups@zfs-auto-snap_daily-2026-03-17-0635                          0B      -  38.9G  -                       snapshot
tank/backups@zfs-auto-snap_daily-2026-03-18-0637                          0B      -  38.9G  -                       snapshot
tank/backups@zfs-auto-snap_daily-2026-03-19-0639                          0B      -  38.9G  -                       snapshot
tank/backups@zfs-auto-snap_hourly-2026-03-19-1617                         0B      -  38.9G  -                       snapshot
tank/backups@zfs-auto-snap_hourly-2026-03-19-1717                         0B      -  38.9G  -                       snapshot
tank/backups@zfs-auto-snap_hourly-2026-03-19-1817                         0B      -  38.9G  -                       snapshot
tank/backups@zfs-auto-snap_hourly-2026-03-19-1917                         0B      -  38.9G  -                       snapshot
tank/backups@zfs-auto-snap_hourly-2026-03-19-2017                         0B      -  38.9G  -                       snapshot
tank/backups@zfs-auto-snap_hourly-2026-03-19-2117                         0B      -  38.9G  -                       snapshot
tank/backups@zfs-auto-snap_hourly-2026-03-19-2217                         0B      -  38.9G  -                       snapshot
tank/backups@zfs-auto-snap_hourly-2026-03-19-2317                         0B      -  38.9G  -                       snapshot
tank/backups@zfs-auto-snap_hourly-2026-03-20-0017                         0B      -  38.9G  -                       snapshot
tank/backups@zfs-auto-snap_hourly-2026-03-20-0117                         0B      -  38.9G  -                       snapshot
tank/backups@zfs-auto-snap_hourly-2026-03-20-0217                         0B      -  38.9G  -                       snapshot
tank/backups@zfs-auto-snap_hourly-2026-03-20-0317                         0B      -  38.9G  -                       snapshot
tank/backups@zfs-auto-snap_hourly-2026-03-20-0417                         0B      -  38.9G  -                       snapshot
tank/backups@zfs-auto-snap_hourly-2026-03-20-0517                         0B      -  38.9G  -                       snapshot
tank/backups@zfs-auto-snap_hourly-2026-03-20-0617                         0B      -  38.9G  -                       snapshot
tank/backups@zfs-auto-snap_daily-2026-03-20-0636                          0B      -  38.9G  -                       snapshot
tank/backups@zfs-auto-snap_hourly-2026-03-20-0717                         0B      -  38.9G  -                       snapshot
tank/backups@zfs-auto-snap_hourly-2026-03-20-0817                         0B      -  38.9G  -                       snapshot
tank/backups@zfs-auto-snap_hourly-2026-03-20-0917                         0B      -  38.9G  -                       snapshot
tank/backups@zfs-auto-snap_hourly-2026-03-20-1017                         0B      -  38.9G  -                       snapshot
tank/backups@zfs-auto-snap_hourly-2026-03-20-1117                         0B      -  38.9G  -                       snapshot
